ticker,Price to Book,Price to Earnings,Dividend Yield,Gearing Ratio,BETA
PFGC US Equity,2.925827473,22.33306189,0,1.216854029,0.931104243
PGTI US Equity,2.922302756,17.68156425,0,0.994154347,0.777738146
PKI US Equity,3.45680825,31.78100683,0.003497814,0.739590642,1.213255959
PLPC US Equity,1.319314347,11.9809369,0.012334258,0.153909215,1.075846125
PRAH US Equity,6.423895799,34.40311295,0,1.215361249,1.172435512
PSX US Equity,1.858223683,11.19716883,0.031925082,0.43950378,0.903478622
RAY Index,2.999543517,19.59669595,,1.1215812,1.101395907
RBC US Equity,1.431635414,13.42934688,0.014036529,0.542021615,1.116765241
RS US Equity,1.144118943,8.863185651,0.024375,0.411546031,1.17839549
RXN US Equity,2.587862932,18.79984051,0,1.169273792,0.896145315
SCL US Equity,2.452602416,17.67577718,0.010859301,0.367718207,0.713236425
SERV US Equity,3.994474612,19.91072701,0,1.936753338,0.444214091
SGA US Equity,1.168190556,8.519003932,0.054945055,0.108602396,1.145318981
SITE US Equity,8.156829768,28.73807981,0,1.938178231,0.566518817
SMP US Equity,2.529742203,20.87560481,0.015327103,0.107595791,1.017510068
SPXC US Equity,3.469273482,53.09766113,0,1.252366784,0.391950406
STRT US Equity,0.721762854,9.122434141,0.021459227,0.260732605,0.937789976
SUPN US Equity,5.205469272,20.79560635,0,0.771837435,0.338569613
TAST US Equity,2.211485981,32.70553064,0,1.602990108,1.129650974
TMO US Equity,3.480061322,32.18147333,0.00283932,0.698177761,0.972702498
TNET US Equity,8.880114426,17.75987107,0,1.194285714,0.704433307
TPB US Equity,8.399746193,20.7089669,0,2.942355401,1.271479557
UBNT US Equity,29.23060356,27.96507585,0,1.768695569,0.988288074
UFPI US Equity,1.57902165,11.53116755,0.011440829,0.199503721,1.132543868
UFS US Equity,1.107957485,15.57079049,0.038470091,0.432432432,0.465144665
USAK US Equity,2.338182063,19.52135148,0,1.303705409,0.427451736
VLGEA US Equity,0.878414996,14.41038508,0.037850114,0.16184994,1.076815322
VLO US Equity,1.545859264,12.61685939,0.0388666,0.395296167,0.83178445
VRSK US Equity,9.428951885,36.14209005,0,1.208294414,0.943698422
WBC US Equity,5.277025196,24.48973177,0,0.92125475,0.99122055
WERN US Equity,1.937445252,19.31506849,0.009160757,0.100522637,1.149082782
WGO US Equity,1.524001699,8.072379524,0.015485869,0.545315234,1.15678436
WRK US Equity,1.015820812,11.124289,0.036771105,0.558494245,1.561667191
XPO US Equity,2.119717718,25.4078445,0,0.890953854,1.183903465
ZBRA US Equity,7.497316526,22.86321029,0,1.566364386,
